sample,bp_p,gor,yg,y_api,Tf
1,"3,573","1,507",0.951.,39.3.,225
2,"3,571",898,0.802.,32.7.,175
3,"3,426",898,0.802.,32.7.,150
4,"3,405","1,579",0.930.,42.8.,235
5,"3,354",825,0.779.,34.2.,185
6,"3,311",825,0.779.,34.2.,175
7,"3,297",867,0.799.,35.4.,180
8,3279,898,0.802.,32.7.,125
9,"3,250","1,203",0.925.,40.2.,240
10,"3,228",775,0.783.,34.4.,175
11,"3,223",750,0.800.,32.0.,175
12,"3,218","1,151",0.894.,39.9.,220
13,"3,204",742,0.752.,32.6.,160
14,"3,201","1,579",0.930.,42.8.,190
15,"3,198","1,602",0.960.,44.6.,230
16,"3,180",730,0.757.,33.1.,175
17,"3,155",700,0.774.,32.2.,185
18,"3,155",818,0.789.,34.2.,170
19,"3,127",898,0.802.,32.7.,100
20,"3,101",700,0.774.,32.2.,175
21,"3,090",680,0.755.,29.7.,175
22,"3,066",867,0.799.,35.4.,140
23,"3,057",811,0.812.,36.5.,185
24,"3,057",679,0.778.,32.0.,175
25,"3,030","1,151",0.894.,39.9.,180
26,"3,003",665,0.766.,30.8.,175
27,"2,941",811,0.812.,36.5.,160
28,"2,925",693,0.774.,33.2.,175
29,"2,901",700,0.774.,32.2.,140
30,"2,900",818,0.789.,34.2.,100
31,"2,896","1,579",0.930.,42.8.,145
32,"2,871",825,0.779.,34.2.,100
33,"2,865",742,0.752.,32.6.,100
34,"2,845","1,143",0.951.,39.4.,240
35,"2,836",811,0.812.,36.5.,140
36,"2,831",1203,0.925.,40.2.,180
37,"2,804",867,0.799.,35.4.,100
38,"2,789",775,0.783.,34.4.,100
39,"2,751",750,0.800.,32.0.,100
40,"2,687",680,0.755.,29.7.,100
41,"2,652","1,507",0.951.,39.3.,100
42,"2,639",700,0.774.,32.2.,100
43,"2,636","1,143",0.951.,39.4.,200
44,"2,617",811,0.812.,36.5.,100
45,"2,607",679,0.778.,32.0.,100
46,"2,588",665,0.766.,30.8.,100
47,"2,559","1,579",0.930.,42.8.,100
48,"2,558",602,0.803.,33.0.,170
49,"2,530",693,0.774.,33.2.,100
50,"2,521",746,0.907.,36.1.,200
51,"2,504","1,151",0.894.,39.9.,100
52,"2,445",585,0.815.,33.3.,180
53,"2,413","1,203",0.925.,40.2.,100
54,2401,567,0.782.,34.5.,175
55,"2,392",805,0.929.,39.1.,200
56,"2,365",498,0.798.,30.1.,175
57,"2,359",521,0.801.,30.1.,160
58,"2,350","1,602",0.960.,44.6.,100
59,"2,344","1,143",0.951.,39.4.,150
60,"2,259",521,0.801.,30.1.,135
61,"2,256",585,0.815.,33.3.,140
62,"2,249",469,0.824.,28.8.,165
63,"2,231",746,0.907.,36.1.,150
64,"2,230",580,0.802.,38.1.,175
65,"2,177",421,0.799.,21.9.,145
66,"2,172",602,0.803.,33.0.,100
67,"2,172","1,493",1.008.,43.6.,100
68,"2,148",585,0.815.,33.3.,120
69,"2,133",805,0.929.,30.1.,150
70,"2,132",521,0.801.,30.1.,110
71,"2,124",692,0.876.,41.9.,185
72,"2,035",585,0.815.,33.3.,100
73,"2,016",803,1.013.,36.2.,160
74,"1,990",521,0.801.,30.1.,85
75,"1,988",692,0.876.,41.9.,150
76,"1,981",498,0.798.,30.1.,100
77,"1,962",746,0.907.,36.1.,100
78,"1,928",469,0.824.,28.8.,100
79,"1,912",585,0.815.,33.3.,80
80,"1,890",580,0.802.,38.1.,100
81,"1,847",805,0.929.,39.1.,100
82,"1,834",755,1.004.,39.3.,170
83,"1,824",692,0.876.,41.9.,115
84,"1,766","1,087",1.056.,38.0.,100
85,"1,641",692,0.876.,41.9.,80
86,"1,631",803,1.013.,36.2.,100
87,"1,630",347,0.933.,26.1.,165
88,"1,603",755,1.004.,39.3.,125
89,"1,480",412,0.973.,31.0.,180
90,"1,477",560,1.002.,38.6.,150
91,"1,472",417,0.980.,31.2.,185
92,"1,437",389,1.002.,28.2.,150
93,"1,405",347,0.933.,26.1.,100
94,"1,405",412,0.973.,31.0.,160
95,"1,378",417,0.980.,31.2.,160
96,"1,377",331,0.921.,28.4.,160
97,"1,367",755,1.004.,39.3.,80
98,"1,292",412,0.973.,31.0.,130
99,"1,282",469,0.960.,36.5.,155
100,"1,265",417,0.980.,31.2.,130
101,"1,230",302,0.931.,28.9.,160
102,"1,205",389,1.002.,28.2.,80
103,"1,193",469,0.960.,36.5.,130
104,"1,180",412,0.973.,31.0.,100
105,"1,180",331,0.921.,28.4.,100
106,"1,159",512,1.010.,37.0.,100
107,"1,153",417,0.980.,31.2.,100
108,"1,137",560,1.002.,38.6.,74
109,"1,095",433,1.188.,31.2.,190
110,"1,094",265,1.058.,22.8.,185
111,"1,061",302,0.931.,28.9.,100
112,966,433,1.188.,31.2.,150
113,874,232,0.989.,27.2.,160
114,854,196,0.942.,32.1.,175
115,847,265,1.058.,22.8.,100
116,804,433,1.188.,31.2.,100
117,697,189,1.031.,27.9.,80
118,696,196,0.942.,32.1.,100
119,642,266,1.192.,37.3.,165
120,601,266,1.192.,37.3.,145
121,584,127,1.025.,25.1.,160
122,545,141,1.072.,27.5.,155
123,518,266,1.192.,37.3.,105
124,515,127,1.025.,25.1.,120
125,508,141,1.072.,27.5.,130
126,477,158,1.308.,27.1.,220
127,444,168,1.367.,30.5.,205
128,421,62,0.875.,31.6.,170
129,408,104,1.126.,27.4.,160
130,392,168,1.367.,30.5.,165
131,370,79,1.146.,23.5.,185
132,368,100,1.247.,26.0.,205
133,343,168,1.367.,30.5.,125
134,331,74,1.093.,27.4.,160
135,327,79,1.146.,23.5.,145
136,293,74,1.093.,27.4.,120
137,290,103,1.335.,25.4.,155
138,263,45,1.123.,21.8.,190
139,261,44,1.050.,30.2.,205
140,255,61,1.272.,26.2.,160
141,246,45,1.123.,21.8.,160
142,240,61,1.272.,26.2.,140
143,238,44,1.050.,30.2.,165
144,236,61,1.356.,25.4.,190
145,236,80,1.297.,28.5.,155
146,231,45,1.123.,21.8.,130
147,214,61,1.272.,26.2.,100
148,214,44,1.050.,30.2.,125
149,211,61,1.356.,25.4.,160
150,205,39,1.251.,19.4.,160
151,186,61,1.356.,25.4.,130
152,186,29,1.185.,23.6.,190
153,179,39,1.251.,19.4.,120
154,174,29,1.185.,23.6.,180
155,174,46,1.105.,38.9.,100
156,163,26,1.182.,29.2.,200
157,161,29,1.185.,23.6.,130
158,148,29,1.185.,23.6.,100
159,147,26,1.182.,29.2.,160
160,130,26,1.182.,29.2.,120
